perl 56.2307692308  bf=11696 bc=208
php 99.7829457364  bf=12872 bc=129
javascript 101.060344828  bf=11723 bc=116
jsp 112.357142857  bf=1573 bc=14
c++ 124.347826087  bf=17160 bc=138
tcl 166.0  bf=498 bc=3
python 188.133333333  bf=2822 bc=15
java 198.925465839  bf=32027 bc=161
c 351.25  bf=8430 bc=24
xbase/clipper 615.333333333  bf=5538 bc=9
c# 2450.0  bf=4900 bc=2
