php 70.4489795918  bf=6904 bc=98
c# 73.6  bf=368 bc=5
jsp 76.0517241379  bf=4411 bc=58
java 88.5321100917  bf=9650 bc=109
perl 183.733333333  bf=8268 bc=45
unix shell 187.777777778  bf=3380 bc=18
python 191.777777778  bf=1726 bc=9
c 290.432432432  bf=10746 bc=37
c++ 390.2  bf=3902 bc=10
javascript 530.0  bf=3180 bc=6
tcl 653.0  bf=4571 bc=7
